id,set_date,city,unemployment_rate,jobs,in_demand_skills,average_age,college_degree_percentage,unemployment_level,state,job_posting_level,average_age_group,college_degree_percentage_level,set_year
1,10/7/2023,Houston,6.8,4894,"Agile Methodologies, Project Management",44,74,Moderate,TX,Very High,Older,High,2023
2,5/24/2025,Washington,11.1,2695,"Data Analysis, UX/UI Design, Digital Marketing",50,87,High,DC,Moderate,Older,High,2025
3,9/28/2024,Chicago,7.3,1174,"Agile Methodologies, Digital Marketing, Machine Learning, Cloud Computing, Cybersecurity",48,54,Moderate,IL,Low,Older,Moderate,2024
4,12/28/2024,Indianapolis,11.2,3708,"Cloud Computing, UX/UI Design",36,75,High,IN,High,Middle-Aged,High,2024
5,9/10/2023,New York,13.7,268,"SQL, Machine Learning, Python, Project Management, Customer Service",41,75,Very High,NY,Very Low,Older,High,2023
6,12/31/2024,Los Angeles,5,1785,"Cloud Computing, UX/UI Design, Project Management",37,52,Low,CA,Moderate,Middle-Aged,Moderate,2024
7,9/1/2023,Phoenix,13.7,2784,"Data Analysis, Project Management",33,38,Very High,AZ,Moderate,Middle-Aged,Low,2023
8,10/8/2024,San Jose,10.1,4981,"Customer Service, UX/UI Design, Cybersecurity, Python, SQL",34,44,High,CA,Very High,Middle-Aged,Low,2024
9,8/6/2024,Austin,9,2453,"Digital Marketing, JavaScript",30,68,Moderate,TX,Moderate,Young,Moderate,2024
10,2/14/2024,Dallas,12.4,808,"Cloud Computing, JavaScript",39,44,Very High,TX,Low,Middle-Aged,Low,2024
11,3/18/2024,San Francisco,5.5,989,"Data Analysis, Cloud Computing",28,82,Low,CA,Low,Young,High,2024
12,5/1/2025,Washington,2.3,2135,"Project Management, Digital Marketing, Agile Methodologies",27,68,Very Low,DC,Moderate,Young,Moderate,2025
13,4/12/2025,Phoenix,14.6,4054,"Agile Methodologies, JavaScript, UX/UI Design",25,88,Very High,AZ,High,Young,High,2025
14,1/23/2025,Los Angeles,8.2,4206,"Cybersecurity, Data Analysis",37,45,Moderate,CA,High,Middle-Aged,Low,2025
15,10/13/2024,Columbus,3.3,4005,"Project Management, Sales, UX/UI Design",35,85,Very Low,OH,High,Middle-Aged,High,2024
16,8/22/2023,San Antonio,6,4147,"Sales, UX/UI Design, JavaScript, Digital Marketing",32,85,Low,TX,High,Middle-Aged,High,2023
17,9/6/2024,San Jose,13,4580,"SQL, JavaScript, Customer Service, UX/UI Design",44,33,Very High,CA,Very High,Older,Low,2024
